word,dialect,definition,example_runyoro,example_rutooro,related_words
babirirwa,Runyoro-Rutooro,to have burning sensation (on body or in mouth,emimva kubabirirwa buli ehikitweho kaamurali (lips will feel a burning sensation only when they have come into contact with pepper.),,
babuka,Runyoro-Rutooro,"to be blistered, be painful, (burn","to be blistered (be painful, (burn))",,pr. form: babukira; c. form: babukya
back,Runyoro-Rutooro,enyuma,look b. rora enyuma; at b. of house,look b. rora enyuma; at b. of house,
badness,Runyoro-Rutooro,"obubi. baking-powder, n. ekitumbisa. bale, v., taba, taha, tokoora",,,
baga,Runyoro-Rutooro,to fix reeds on side of poles for a wall of a building (e.g. a mud and wattle wall,"p1: form (bagira, k11-, oku- (pf. -bagiire))",,pass. form: bagwa
bagana,Runyoro-Rutooro,to share apportion among selves,"p1jorm (bagalira, ku-, ok11-, (pf. -baganiire))",,pass. form: bagalwa
baganiza,Runyoro-Rutooro,to divide into sections or parties,"often with the adverbial prefix-11111 or -110.Enyama egi nkoolo muno gibaganizeemu (that piece of meat is too big, divide it into two parts)",,pr. form: bagaliiriza; pass. form: bagaliizibwa
baganura,Runyoro-Rutooro,to pull apart. spilt. open,"enko z'ekuooke 11111ta=ibagal111ra (muzite omunsaho nkooku zikali. do not split the plantain clusters, put them into the suck as they are)",,c. form: baganuza; pass. form: baganunva
baggage,Runyoro-Rutooro,"ebintu, ensika, enkeeto, enamba. backwards, ekiinyumanyuma","kyegemba; fa// b., garanjuka, gwa bugazi. \text, v. \text bad, -bi, -junzire, -biihire","kyegemba; fa// b., garanjuka, gwa bugazi. \text, v. \text bad, -bi, -junzire, -biihire",
baguka,Runyoro-Rutooro,lo speak loudly with anger,"pt: form (bag11kira, ku-, oku- (pf. -bagukiire))",,c. form: baguly; pl: Zaabahemukiraataafe
baija,Runyoro-Rutooro,"to do carpentry, chopc into shape",to do carpentry (chopc into shape),,c. form: bai; pass. form: baijwa
baker,Runyoro-Rutooro,"omwoki,omucumbi w'emigaati. baldn ess,n. oruhara. see",ebyeyera,ebyeyera,
bakura,Runyoro-Rutooro,"to seize on, catch",to seize on (catch),,pass. form: bakunva; pl: same
balUrra,Runyoro-Rutooro,"to estimate, budget, calculate","to estimate (budget, calculate)",,pass. form: balirirwa
balance,Runyoro-Rutooro,eminzaani,,,
balcony,Runyoro-Rutooro,ebbalaza,,,
bale,Runyoro-Rutooro,omutwaror. see,"omugugu; omugugu, endiboota. balance, v., tengeneka (on head), ehengekeerra, etwendekeerra, -b. oneself. etengeneka, etendebeka. baling-bowl, n. icuba, ekisanduzo","omugugu; omugugu, endiboota. balance, v., tengeneka (on head), ehengekeerra, etwendekeerra, -b. oneself. etengeneka, etendebeka. baling-bowl, n. icuba, ekisanduzo",
ball,Runyoro-Rutooro,"omupiira, enkuyu",,,
balsam,Runyoro-Rutooro,ekibwiga,,,
bamba,Runyoro-Rutooro,to peg out (e.g. hide,"b. halm1ti (peg out on a tree, crucify)",,pass. form: bambwa
bambaga,Runyoro-Rutooro,to be nearly full to the brim,"yongeraho esaano (ekigega tikikabambagire, put on more millet flour the basket is not yet full to the brim)",,pass. form: bambagibwa
bambataza,Runyoro-Rutooro,"to fulfill. bambira, .rr","to squash. bambika (ku-, oku-, v./l)",,
bamboo,Runyoro-Rutooro,omuseke,,,
banana,Runyoro-Rutooro,"ekitooke, ekyenju, enkonje, ekyayaaya. band, omweko",,,
banda,Runyoro-Rutooro,"to stick finnly, adhere",to stick finnly (adhere),,
bandaara,Runyoro-Rutooro,"to stay, wait a while. bandaatuka ,.i","to stay (wait a while. bandaatuka ,ku-,oku-,v.i.,(pf.-bandatukire))",,pl: nil
bandage,Runyoro-Rutooro,"ekikoba, ekycsembyo",,,
bank,Runyoro-Rutooro,"bbanka/. bank, orubaju, orubibi, omwegeego, orusa, omusa, empangi",,,
banner,Runyoro-Rutooro,"ebendera, ebbeeru. banquet, obugenyi",,,
banza,Runyoro-Rutooro,"to begin, do first, precede","to begin (do first, precede)",,pass. form: banzibwa
banzlika,Runyoro-Rutooro,"to tack for sowing, make a rough copy of, draft","to tack for sowing (make a rough copy of, draft.)",,
baptist,Runyoro-Rutooro,"omubatizi baptize, v. batiza. barter, v. bingisa, hingga, suubura",,,
bar,Runyoro-Rutooro,"okugayibwa, -bundaaziibwe. bar, v., tanga, kinga emihingo, hongora",,,
bara,Runyoro-Rutooro,"to count, calculate",to count (calculate),,c. form: baza; pass. form: barabaatwa; pl: not
barbarity,Runyoro-Rutooro,eyanikiriza,,,
barber,Runyoro-Rutooro,ba busa,"kwonka, -(a) obwerre. see; rwangarateete. kungura","kwonka, -(a) obwerre. see; rwangarateete. kungura",
bargain,Runyoro-Rutooro,"ekiragaano, endagaano",,,
barge,Runyoro-Rutooro,"oga, naaba.see",obukozesebwa bakuru b'amaato amwarwani. bathe,obukozesebwa bakuru b'amaato amwarwani. bathe,
bark,Runyoro-Rutooro,"naabisa, ogya",,,
barkcloth,Runyoro-Rutooro,orubugo,,,
barley,Runyoro-Rutooro,"sayiri. bark, v., moka, boigora",,,
barn,Runyoro-Rutooro,"enguli. baptism, okubatizibwa",,,
barrel,Runyoro-Rutooro,ekipipa,,,
barrenness,Runyoro-Rutooro,"obugumba, obusajwa",,,
barricade,Runyoro-Rutooro,"engumba, esajwa","see enziri (land), orwomere","see enziri (land), orwomere",enziri
base,Runyoro-Rutooro,ekibunu,,,
basin,Runyoro-Rutooro,"ekinaabiro, ebbakuli, ekibindi, orwobo",,,
basket,Runyoro-Rutooro,"ekiibo, ek:igega, endiiro, ekitaro, ekijeje, ekicuku, ekiduukuru, ekisornbera, orugagara, ekireguurro, endegu, oruhunge, ekijonjoro, sohoro",,,
bat,Runyoro-Rutooro,ramuza,,,
bath,Runyoro-Rutooro,oruleeba,,,
bathroom,Runyoro-Rutooro,"eryogero, ekibuga, ekinaabiro",,,
batiza,Runyoro-Rutooro,to baptize,"p1:form (batiriza, k11-, oku- (pf. -batiriize))",,pass. form: batizibwa
battle,Runyoro-Rutooro,"obwemi, obuJemu",,,
battlefield,Runyoro-Rutooro,"irwaniro. bawl, v, tokolekana",,,
bay,Runyoro-Rutooro,omukonogw'enyanja,,,
baza,Runyoro-Rutooro,"to talk, converse",to talk (converse),,c. form: badsa; pass. form: bazisibwa; pl: same
bazaar,Runyoro-Rutooro,"amaduuka, akatalc. be, ba",,,
bbaama,Runyoro-Rutooro,"to be bent, warped (e.g. hoe, stick), to be obstinate, disobedient","to be bent (warped (e.g. hoe, stick), to be obstinate, disobedient)",,c. form: bbaamya; pass. form: bbaamibwa
bbaamuuka,Runyoro-Rutooro,,"to go one's own way (walk out resentfully, be rude, naughty, etc.)",,
bbaamuura,Runyoro-Rutooro,"to straighten, unbend",to straighten (unbend.),,
bbaamya,Runyoro-Rutooro,"to make crooked, warp. bbaasi,(pl.zaabbaasi","to make crooked (warp. bbaasi,n.cl.9a,(pl.zaabbaasi))",,c. form: bbabba; pass. form: bbabba; pl: zaabbaasi
bbabaasa,Runyoro-Rutooro,envelope,,,pl: same
bbakuli,Runyoro-Rutooro,"to come unexpectedly(enswa), break out (rash). bbana, .11:, & v.i","enamel bowl for relish. Bbala (n. cl. la, (pl. Baabbala))",,pl: same
bbanga,Runyoro-Rutooro,"to cut a notch, mortise",to cut a notch (mortise.),,
bbangaarra,Runyoro-Rutooro,"to be very erect, hold oneself well. bbani, e-, n.. cl. 9, (pl. same","to be very erect (hold oneself well. bbani, e-, n.. cl. 9, (pl. same))",,pl: same
bbanuora,Runyoro-Rutooro,"to speak forcibly, be entertaining, amusing","to speak forcibly (be entertaining, amusing)",,c. form: bbarukya; pass. form: bbarukibwa; pl: same
bbasuka,Runyoro-Rutooro,to spring (trap or stone etc,"obu o/ibata omumutego gw 'embasuko gubbasuka (g11k11kwata, if you tread on a trap it will spring up and get hold of you)",,c. form: bbasukya; pass. form: bbasukibwa
bbayura,Runyoro-Rutooro,"to beat hard, smack",to beat hard (smack),,pr. form: bbayuurra; c. form: bbayuza; pass. form: bbayurwa; pl: same
bbeeseni,Runyoro-Rutooro,pl. bbeeseni,,,pl: bbeeseni
bbinika,Runyoro-Rutooro,"f. kettle. bboi, int., imitates the sound made by a dog when barking, naaboigora bboi nk 'embwa, he/she barks like a dog",,,pl: same
bbomba,Runyoro-Rutooro,"to come off, peel off (as skin, plaster","f. (bicycle pump. bbomooka,ku-,olru-,v.i.,(pf.-bbomookere))",,pl: same
bbongoora,Runyoro-Rutooro,"to pour away, break a piece cut",to pour away (break a piece cut),,pr. form: bbongoorra; c. form: bbongooja; pass. form: bbongoorwa
bboomooka,Runyoro-Rutooro,"to collapse, fall down (wall), come off (plaster","to collapse (fall down (wall), come off (plaster).)",,
bbootoka,Runyoro-Rutooro,to collapse completely,ekinaga kibbootokere nibakita /iamaliega (the earthenware cooking pot collapsed as it was being put on the firestone.),,
bbubura,Runyoro-Rutooro,"ota111ma abaana haiziba ekiro entale eraire neebbubuurraayo, do not send children to the well, as last night a lion was roaring from there","p1: fonn (bbubuurra, ku-, oku- (pf. -bbubuliire))",,c. form: bbubuza; pass. form: bbubulibwa
bbukura,Runyoro-Rutooro,"dig deep. bbuukura, .i","dig deep. bbuukura (ku-, oko-, v.i., (pf. -bbuukwire))",,
bbwalruza,Runyoro-Rutooro,"ekiti omwana akakimubbwakuliza haihi yayekanga, she snapped the stick near the child and it got fr ightened","♦ crunch (snap (stick, etc.))",,pr. form: bwakuliza; pass. form: bbwuk
be--,Runyoro-Rutooro,"relatives, kinsmen",relatives (kinsmen.),,pl: of
bead,Runyoro-Rutooro,enkwanzi,"see akasenyi; see akasenyi, akatondi, akabwera, akatete, erisinda, akahike, baibika, ebuurwa, akagorogoro, akakorooto, akanyeenya, kagusuuru, kahamba, kakuba, akagara, akahoko, encaru, akooki, embira. beak, 11. enyiodo, omuowa (gw'enyoyi)","see akasenyi; see akasenyi, akatondi, akabwera, akatete, erisinda, akahike, baibika, ebuurwa, akagorogoro, akakorooto, akanyeenya, kagusuuru, kahamba, kakuba, akagara, akahoko, encaru, akooki, embira. beak, 11. enyiodo, omuowa (gw'enyoyi)",akasenyi
beam,Runyoro-Rutooro,omurabba,,,
bean,Runyoro-Rutooro,"ekihimba, ekikaiga, ekicoboyo, ekikoole, akakirakembeba, ekirangwa, -omutega. see","enjoroorwa, ebihiiso, ebiseereere, embaju, kabuhuukuume, engulike.; enjoroorwa","enjoroorwa, ebihiiso, ebiseereere, embaju, kabuhuukuume, engulike.; enjoroorwa",
bear,Runyoro-Rutooro,edubu,"great b., bisuma. bear, v., (carry), heeka, etweka, himba","great b., bisuma. bear, v., (carry), heeka, etweka, himba",
beard,Runyoro-Rutooro,"ebirçu, omuleju",,,
bearer,Runyoro-Rutooro,"omuheeki, omwetweki",,,
beast,Runyoro-Rutooro,"huruutuka, taigana, rasira. beat, v.tr., tcera, dudura, kaita, kotora, dukura, bbayura, konyoga, zirwaitura, zaitura, gangura, jagura, sengaijura, hurumura, kabura, koronga, nagura, iguurra, bbaraogura",ekisoro,ekisoro,
beater,Runyoro-Rutooro,"omuteezi, omurubiki, omukokozi, omusagasi, omwahi. beautiful, -rungi,-semiire,see",ihunde; b. oneself,ihunde; b. oneself,
beeba,Runyoro-Rutooro,to lift or move painfully (injured limb,,,pass. form: beebwa; pl: of
beef,Runyoro-Rutooro,"cnyama y'ente. beebjve, 11. omuzinga",,,
beer,Runyoro-Rutooro,amaarwa,omutaraarra,omutaraarra,
beeswax,Runyoro-Rutooro,ebisasara,,,
beetle,Runyoro-Rutooro,"omumaiso ga: (of time), ira, okubanza, kara. befriend, v. ganjana, yamba, nywana, konyera. beg, v. saba, esengereza, sabiriza, seega, taagira, hulegeza. beget, v. zaara",,,
bega,Runyoro-Rutooro,to spy on and report facts about a person or thing to be kept secret,,,pr. form: begera; pass. form: begwa
beggar,Runyoro-Rutooro,"omusabi, omusabirizi, omuseege. beggary, obuleegi, obusungamirizi, obuseege. begin, v. banza, tandika, caaka, toma",,,
beginner,Runyoro-Rutooro,"omwega w'okubanza. beginning, //. okubanza, eotandiko. begone, rugaho!irooku!cwekanabo!cokonokaho!",,,
beguile,Runyoro-Rutooro,"ohya, biihabiiha, tebateba. behalf \phi , on, habwa. behave, v. kora, gira, ba n'engeso",see gwija,see gwija,gwija
behavior,Runyoro-Rutooro,"eogeso. behead, v. temaho omutwe. behind,eoyuma,asprep.,enyuma ya. behold !int., dora! da! behold, bona, rora! tunuurra, gunura. behove, semeerra, hikiirra",,,
being,Runyoro-Rutooro,obuntu,benediction,benediction,
belgian,Runyoro-Rutooro,"inama, eculika, einika, egema, hingama, egoda, kyama","asprep., haosi ya, omunda ya. beneficence, embabazi, obugabi, obwenda, obukumaofuuzi. bend, v.i., inama, eculika, einika, egema, hingama, egoda, kyama","asprep., haosi ya, omunda ya. beneficence, embabazi, obugabi, obwenda, obukumaofuuzi. bend, v.i., inama, eculika, einika, egema, hingama, egoda, kyama",
belief,Runyoro-Rutooro,"okwikiriza, enyikiriza. believe, v. ikiriza",,,
believer,Runyoro-Rutooro,omwikiriza,,,
bell,Runyoro-Rutooro,"inika, inamya, heta, gema, bbaamya, goda. bellows, 11.emijuba","see kongobara. bemoan; see kongobara. bemoan, v. liriirra. bequeath, v. sigira, gweta. bend, v.tr., inika, inamya, heta, gema, bbaamya, goda. bellows, 11.emijuba","see kongobara. bemoan; see kongobara. bemoan, v. liriirra. bequeath, v. sigira, gweta. bend, v.tr., inika, inamya, heta, gema, bbaamya, goda. bellows, 11.emijuba",kongobara
belly,Runyoro-Rutooro,"enda. bereave, aka, ihabo, hwerekereza, fiisiza",,,
belt,Runyoro-Rutooro,"omweko, orukoba, omukandara, omufuko. bereavement, okufeerwa, obucweke, okuhwerwa. below, bansi, ifo",,,
bemba,Runyoro-Rutooro,"to offer (to spirits, etc). bemba","to offer (to spirits (etc). bemba, ku-, oku-, 1ur., (pf.-bembere))",,
bench,Runyoro-Rutooro,orubbaaho orw'okwikaarraabo,,,
bend,Runyoro-Rutooro,"obwezigoorro, obweikiiko, ekyezigoorro",,,
bendabenda,Runyoro-Rutooro,"fiag, banner, sail","to walk bending forward. stoop. bender a (e-, n. cl. 9, (pl. same))",,pl: same
benefactor,Runyoro-Rutooro,"omukumanfuuzi. benefit v., gasira, koonyera, gira omubiri, gira omugaso, gasirwa",,,
benefit,Runyoro-Rutooro,"omugisa, omugaso",,,
beregesa,Runyoro-Rutooro,to talk very fast,,,pr. form: beregeseza; c. form: beregesesa; pass. form: beregesebwa
berekera,Runyoro-Rutooro,to begin growing grey hair,ak11zire n'eju omumutwe niiberekera (be/she is getting old such that grey hair has started to grow on his/her head.),,
berenguka,Runyoro-Rutooro,,to be crushed (broken to pieces (hard things)),,
berengura,Runyoro-Rutooro,"to break up, crush (beans",to break up (crush (beans)),,c. form: berenguza; pass. form: bere
berry,Runyoro-Rutooro,"akajuma, enyonza",,,
beside,Runyoro-Rutooro,"ha, otataireho, hamu na. besides,prep., harubaju rwa, ekindi, ekyakandi, kandi. besiege, v. gota, ehinguJiriza. best, adj., see kira, kira byona, hita",,,"that, kira"
better,Runyoro-Rutooro,"use haakire with subjunctive or infinitive. bind, v. gumya, boha, siba, kuba, ranza, gooba, kaoa",,,
bibande,Runyoro-Rutooro,used only in pl.form,coarse flour (roughly ground millet flour.),,
bibaniirro,Runyoro-Rutooro,used only in pl. fonn,"warning (caution. bihebyo, e-, 11. cl. 8, (used only in pl.form))",,
bibirikana,Runyoro-Rutooro,to jost le one another,drudge (wear oneself out),,c. form: bibirikaniza; pass. form: bibirikanizibwa
bible,Runyoro-Rutooro,"ekitabu ekirukwera, bbaibuli. bit, akacweka",,,
bibugo,Runyoro-Rutooro,used only in pl. form,,,
bibya,Runyoro-Rutooro,used only in pl. form,"enkaito z'ebibya (sandals. bicoboyo, e-. n.cl. 8,(used only in pl.form))",,
biceps,Runyoro-Rutooro,"embeba y'omukono. bicker, v. kungana",see ziikiza; twalikana,see ziikiza; twalikana,ziikiza
bicycle,Runyoro-Rutooro,"egaali. bitter, be, saarra, kamba",keka. bid,keka. bid,
bidubudubu,Runyoro-Rutooro,used only in pl. form,,,
bier,Runyoro-Rutooro,"oruhinyo. blab, ata ensi tata, cwa ebis uba. big, hango, kooto",siisiisi,siisiisi,
bifu,Runyoro-Rutooro,papyrus collectively,"rotten seeds. bifunjo,e-,n. (cl.8, (pl. of kifunjo))",,pl: of
bifuzi,Runyoro-Rutooro,used only in pi jopn,"froth in the mouth (phlegm.,)",,
bigendezo,Runyoro-Rutooro,"used ""ofy in pl. form","old clothes worn when traveling. bigene (e, 11 cl. 8, (pl. of .kigene))",,pl: of
bigisa,Runyoro-Rutooro,used only in pl. fonn,"child's cowrie and bead necklace (channs. bigisl, e-, n. Cl. 8, (used only io pl. form))",,pl: of
bigojo,Runyoro-Rutooro,used only in pl. form,,,
bigondonka,Runyoro-Rutooro,used only in pl. form,happenings (occurrences.),,
bigono,Runyoro-Rutooro,used only in pl.form,,,
bigoye,Runyoro-Rutooro,string,"cwa ebi. (recover. biguuna, e-, 11. cl. 8, (used only in pl. form))",,pl: of
bihaarro,Runyoro-Rutooro,used only inpl fonn,,,
bihana,Runyoro-Rutooro,used only in pl.form,,,
biherehere,Runyoro-Rutooro,used only in pl. form,,,
bihinga,Runyoro-Rutooro,used only in pl.form,"e- (n. cl. 8, (used only in pl. fon 11))",,pl: zaabihogo
bihunda,Runyoro-Rutooro,used only inpl.fom1,rubbish (refuse.),,
bihuruguto,Runyoro-Rutooro,used only in pl. form,,,
bihwa,Runyoro-Rutooro,used only in pl. form,"whispered words. biiga (e-, 11. cl. 8, (used only in pl.form))",,
biiha,Runyoro-Rutooro,"to become bad, be ugly, deceptive (used in pres. perf. only","to become bad (be ugly, deceptive (used in pres. perf. only))",,pr. form: biltira; c. form: biltisa; pass. form: biiltwa
biihabiiha,Runyoro-Rutooro,"to entice, seduce",to entice (seduce),,pr. form: biiltabiiltira; c. form: b
biihirwa,Runyoro-Rutooro,"be vexed, annoyed, troubled","be vexed (annoyed, troubled)",,pr. form: bikira; pass. form: biltirirwa
bikaiga,Runyoro-Rutooro,used only in pl. form,,,
bikambi,Runyoro-Rutooro,sg. kikamb e-,"dregs (refuse, rubbish. bikamburo, c-, 11. cl. 8, (used only in pl. fonn))",,
bikanka,Runyoro-Rutooro,used only in pl. form,kucwa ebikanka (make threats.),,
bikeerranwa,Runyoro-Rutooro,used only in pl. fonn,"waning moon. bikerenju (e-, (also bikereeo, e-). n. cl. 8, (used in pl.form))",,
bikiratima,Runyoro-Rutooro,used only in pl. form,teerwa eb. (have palpitation.),,
biko,Runyoro-Rutooro,{used only in pl. fonn,,,
bikobokobo,Runyoro-Rutooro,used only in pl. form,,,
bikoko,Runyoro-Rutooro,used only in pl. form,,,
bikoora,Runyoro-Rutooro,used only in pl.form,"leaves (runners, dry tobbaco.)",,
bikoorro,Runyoro-Rutooro,"sputum. bikududu ,e-,11. cl. 8 (used only inpl.form",,,pl: of
bikuti,Runyoro-Rutooro,used only in pl. form,,,
bikwato,Runyoro-Rutooro,"valuables, weapon, property(of a chief). Bikwebe, int. = Rukwebe, a response to koikoi said by one attempting to solve a riddle to someone who has proposed it","valuables (weapon, property(of a chief). Bikwebe, int. = Rukwebe, a response to koikoi said by one attempting to solve a riddle to someone who has proposed it.)",,pl: of
bikya,Runyoro-Rutooro,"to bubble, boil over, foam, effervense","neck. bimba (ko-, oku-, v.i., (pf. -bimbire))",,
bile,Runyoro-Rutooro,"endurwa. biliousn ess, enkaka",,,
billow,Runyoro-Rutooro,ekigouzi,"eky'amaani. better, adj., kirungih, haakireho; eky'amaani. better","eky'amaani. better, adj., kirungih, haakireho; eky'amaani. better",kira
binagwa,Runyoro-Rutooro,to wear a loin-cloth,"mucus of tbe nose. binda (ku-, oku-, vi., & v.o)",,pr. form: bingira; c. form: bi; pass. form: bingwa
binkuti,Runyoro-Rutooro,used only in pl. form,"mira eb. (swallow (saliva only), gulp.)",,
binkwabwa,Runyoro-Rutooro,used only in pl. form,"hair in the armpits. bintu (e-, n.. cl. 8, (pl. of kintu), things, wealth)",,pl: of
binyansi,Runyoro-Rutooro,weeds,,,pl: of
binyiga,Runyoro-Rutooro,used only in pl.form,relish cooked without salt (smashed food.),,
binyoobwa,Runyoro-Rutooro,"sg. kinyoobwa, e-",,,
binzaaH,Runyoro-Rutooro,"used only in pl. form), curry powder. biraapara, ad1. carelessly, hurriedly","n. (c/.1a, (pl. baabiraapara))",,pl: baabiraapara
birambi,Runyoro-Rutooro,used only in pl.form,,,
bird,Runyoro-Rutooro,"liriirra, culiirra","hoha. birth to, give, v. zaara, zigaija. between, bagati ya. beverage, 11. ekyokuoywa. birth, okuzaarwa, obuzaarwa, amazaarwa; hoha. birth to","hoha. birth to, give, v. zaara, zigaija. between, bagati ya. beverage, 11. ekyokuoywa. birth, okuzaarwa, obuzaarwa, amazaarwa; hoha. birth to",
